lhs,rhs,confidence
"(24,)","(21,)",0.8844939766797655
"(21,)","(24,)",0.8998558133438196
"(25,)","(21,)",0.8672895974908521
"(21,)","(25,)",0.8699043124918076
"(27,)","(21,)",0.9114117100987998
"(21,)","(27,)",0.900838904181413
"(25,)","(24,)",0.8783978044955567
"(24,)","(25,)",0.866005282484056
"(27,)","(24,)",0.9156554605132285
"(24,)","(27,)",0.8895831991238807
"(27,)","(25,)",0.9092235262913599
"(25,)","(27,)",0.8959749085206482
"(1627,)","(1067,)",0.8561576354679803
"(13, 24)","(21,)",0.8903482587064676
"(13, 21)","(24,)",0.9198190789473685
"(13, 25)","(21,)",0.875962707742197
"(13, 21)","(25,)",0.8885690789473685
"(13, 27)","(21,)",0.9149722735674677
"(13, 21)","(27,)",0.9159128289473685
"(13, 25)","(24,)",0.8954195379002837
"(13, 24)","(25,)",0.8792039800995025
"(13, 27)","(24,)",0.9326350379954816
"(13, 24)","(27,)",0.903681592039801
"(13, 27)","(25,)",0.9217498459642637
"(13, 25)","(27,)",0.9096068098905553
"(28, 400)","(13,)",0.7267303102625299
"(13, 353)","(29,)",0.7270903010033445
"(24, 25)","(21,)",0.9353566912147586
"(21, 25)","(24,)",0.9473366985609885
"(21, 24)","(25,)",0.9158048069919883
"(25,)","(21, 24)",0.8216152639832723
"(24,)","(21, 25)",0.8100238355987889
"(21,)","(24, 25)",0.8240922794599554
"(24, 26)","(21,)",0.9117512574302697
"(21, 26)","(24,)",0.9238610038610039
"(24, 27)","(21,)",0.9433702657687015
"(21, 27)","(24,)",0.9477628228446708
"(21, 24)","(27,)",0.9487982520029133
"(27,)","(21, 24)",0.8638021351369273
"(24,)","(21, 27)",0.839206338980867
"(21,)","(24, 27)",0.8537816227552759
"(24, 28)","(21,)",0.8921508664627931
"(21, 28)","(24,)",0.9172081324669881
"(24, 29)","(21,)",0.899873257287706
"(21, 29)","(24,)",0.9252823631624674
"(24, 30)","(21,)",0.8738796414852753
"(21, 30)","(24,)",0.8826382153249273
"(24, 67)","(21,)",0.8849206349206349
"(21, 67)","(24,)",0.8983885407341092
"(24, 105)","(21,)",0.8924224577934825
"(21, 105)","(24,)",0.9139525532770406
"(24, 106)","(21,)",0.8866111467008329
"(21, 106)","(24,)",0.8963730569948186
"(24, 112)","(21,)",0.8530670470756063
"(21, 112)","(24,)",0.8666666666666667
"(24, 117)","(21,)",0.8941469489414695
"(21, 117)","(24,)",0.908573236317621
"(24, 119)","(21,)",0.8602054488610987
"(21, 119)","(24,)",0.8970656730321379
"(24, 231)","(21,)",0.8629671574178935
"(21, 231)","(24,)",0.8891481913652275
"(24, 249)","(21,)",0.882183908045977
"(21, 249)","(24,)",0.8924418604651163
"(24, 250)","(21,)",0.8492392807745505
"(21, 250)","(24,)",0.8746438746438746
"(24, 295)","(21,)",0.8851203501094091
"(21, 295)","(24,)",0.8870614035087719
"(24, 348)","(21,)",0.845679012345679
"(21, 348)","(24,)",0.8575899843505478
"(24, 350)","(21,)",0.850381679389313
"(21, 350)","(24,)",0.9071661237785016
"(24, 353)","(21,)",0.8983471074380165
"(21, 353)","(24,)",0.9119127516778524
"(24, 355)","(21,)",0.888125613346418
"(21, 355)","(24,)",0.8794946550048591
"(24, 386)","(21,)",0.8731117824773413
"(21, 386)","(24,)",0.8926640926640926
"(24, 400)","(21,)",0.8700475435816165
"(21, 400)","(24,)",0.9165275459098498
"(24, 446)","(21,)",0.8857142857142857
"(21, 446)","(24,)",0.8829113924050633
"(24, 447)","(21,)",0.9283429302623161
"(21, 447)","(24,)",0.9349226804123711
"(24, 449)","(21,)",0.9170506912442397
"(21, 449)","(24,)",0.9241486068111455
"(24, 597)","(21,)",0.8833333333333333
"(21, 597)","(24,)",0.8846737481031867
"(25, 26)","(21,)",0.8999688861232109
"(21, 26)","(25,)",0.8934362934362934
"(25, 27)","(21,)",0.9307905484247374
"(21, 27)","(25,)",0.9285558384867224
"(21, 25)","(27,)",0.9615761319972878
"(27,)","(21, 25)",0.8462966646774086
"(25,)","(21, 27)",0.8339649764767381
"(21,)","(25, 27)",0.8364792240136322
"(25, 28)","(21,)",0.8823774765380605
"(21, 28)","(25,)",0.8868161810941102
"(25, 29)","(21,)",0.8835263835263836
"(21, 29)","(25,)",0.8946568201563857
"(25, 30)","(21,)",0.8435807582032494
"(21, 30)","(25,)",0.856126737795021
"(25, 67)","(21,)",0.8534216335540838
"(21, 67)","(25,)",0.8652641002685766
"(25, 105)","(21,)",0.8822363203806503
"(21, 105)","(25,)",0.8946521913952553
"(25, 106)","(21,)",0.8554987212276215
"(21, 106)","(25,)",0.866580310880829
"(25, 112)","(21,)",0.8406951484431572
"(21, 112)","(25,)",0.841304347826087
"(25, 117)","(21,)",0.8724473766886585
"(21, 117)","(25,)",0.8785194558683961
"(25, 119)","(21,)",0.8454503886602652
"(21, 119)","(25,)",0.8612016767582673
"(25, 231)","(21,)",0.8116740088105727
"(21, 231)","(25,)",0.8599766627771295
"(25, 249)","(21,)",0.8473138548539114
"(21, 249)","(25,)",0.8711240310077519
"(25, 250)","(21,)",0.847041847041847
"(21, 250)","(25,)",0.8361823361823362
"(25, 295)","(21,)",0.8484513274336283
"(21, 295)","(25,)",0.8410087719298246
"(25, 348)","(21,)",0.8442367601246106
"(21, 348)","(25,)",0.8482003129890454
"(25, 353)","(21,)",0.8860544217687075
"(21, 353)","(25,)",0.8741610738255033
"(25, 355)","(21,)",0.8686481303930969
"(21, 355)","(25,)",0.880466472303207
"(25, 386)","(21,)",0.853454821564161
"(21, 386)","(25,)",0.8679536679536679
"(25, 446)","(21,)",0.8814935064935064
"(21, 446)","(25,)",0.8591772151898734
"(25, 447)","(21,)",0.9226342710997443
"(21, 447)","(25,)",0.9297680412371134
"(25, 449)","(21,)",0.9078341013824884
"(21, 449)","(25,)",0.9148606811145511
"(25, 597)","(21,)",0.8511627906976744
"(21, 597)","(25,)",0.8330804248861912
"(26, 27)","(21,)",0.9321372854914196
"(21, 26)","(27,)",0.9227799227799228
"(26, 447)","(21,)",0.7722419928825622
"(27, 28)","(21,)",0.921353065539112
"(21, 28)","(27,)",0.9134353385034584
"(27, 29)","(21,)",0.9220353789036908
"(21, 29)","(27,)",0.917028670721112
"(27, 30)","(21,)",0.9011608623548922
"(21, 30)","(27,)",0.8784351762043323
"(27, 67)","(21,)",0.9136822773186409
"(21, 67)","(27,)",0.8907788719785139
"(27, 105)","(21,)",0.9175670268107243
"(21, 105)","(27,)",0.9219943707277845
"(27, 106)","(21,)",0.9110085695451549
"(21, 106)","(27,)",0.8950777202072538
"(27, 112)","(21,)",0.8941088739746458
"(21, 112)","(27,)",0.868840579710145
"(27, 117)","(21,)",0.9215876089060987
"(21, 117)","(27,)",0.9035115469788042
"(27, 119)","(21,)",0.8993916705662143
"(21, 119)","(27,)",0.8952026082906381
"(27, 231)","(21,)",0.8899408284023669
"(21, 231)","(27,)",0.8774795799299884
"(27, 249)","(21,)",0.9083820662768031
"(21, 249)","(27,)",0.9031007751937985
"(27, 250)","(21,)",0.8913362701908958
"(21, 250)","(27,)",0.8646723646723646
"(27, 295)","(21,)",0.907744874715262
"(21, 295)","(27,)",0.8739035087719298
"(27, 348)","(21,)",0.89792663476874
"(21, 348)","(27,)",0.8810641627543035
"(27, 350)","(21,)",0.8949919224555735
"(21, 350)","(27,)",0.9022801302931596
"(27, 353)","(21,)",0.9320137693631669
"(21, 353)","(27,)",0.9085570469798657
"(27, 355)","(21,)",0.9162512462612163
"(21, 355)","(27,)",0.8931000971817298
"(27, 386)","(21,)",0.9128043990573449
"(21, 386)","(27,)",0.8972972972972973
"(27, 400)","(21,)",0.905
"(21, 400)","(27,)",0.9065108514190318
"(27, 446)","(21,)",0.9024
"(21, 446)","(27,)",0.8924050632911392
"(27, 447)","(21,)",0.9417852522639069
"(21, 447)","(27,)",0.9381443298969072
"(27, 449)","(21,)",0.9345509893455098
"(21, 449)","(27,)",0.9504643962848297
"(27, 597)","(21,)",0.9032761310452418
"(21, 597)","(27,)",0.8786039453717754
"(25, 26)","(24,)",0.9094586185438706
"(24, 26)","(25,)",0.8910227099527511
"(25, 27)","(24,)",0.9398337222870479
"(24, 27)","(25,)",0.9332319501774206
"(24, 25)","(27,)",0.9586401844826303
"(27,)","(24, 25)",0.8545189311053644
"(25,)","(24, 27)",0.842067433350758
"(24,)","(25, 27)",0.8301874637634478
"(25, 28)","(24,)",0.8982273201251303
"(24, 28)","(25,)",0.8780835881753313
"(25, 29)","(24,)",0.9069069069069069
"(24, 29)","(25,)",0.893113645965357
"(25, 30)","(24,)",0.8601465434851864
"(24, 30)","(25,)",0.8642765685019206
"(25, 67)","(24,)",0.8640176600441501
"(24, 67)","(25,)",0.8628747795414462
"(25, 105)","(24,)",0.8953211736716892
"(24, 105)","(25,)",0.8865331762858265
"(25, 106)","(24,)",0.8586956521739131
"(24, 106)","(25,)",0.860345932094811
"(25, 112)","(24,)",0.8522809558291093
"(24, 112)","(25,)",0.8395149786019972
"(25, 117)","(24,)",0.8846999685830977
"(24, 117)","(25,)",0.8767123287671232
"(25, 119)","(24,)",0.8678555098308185
